,Reviewer,Ratings,Heading,Review
0,JAGDISH Pillai,3.4,Wonderful,"Superb earphone with good bass and clear and crisp sound quality.
To fit smooth in the ear without pain, I have cut and fixed old ear buds with fevibond."
1,Flipkart Customer,5,Utterly Disappointed,"It's sound quality is good and awesome but the main thing is the quality is very worst,,so don't buy this product,I will not say that the sound quality is not good ,it sound quality is very impressive but you will get broked within a week,,so remember before buying this ,,,"
2,Flipkart Customer,1,Best in the market!,Good product and comfortable for ears
3,SANJAY GAUTAM,5,Just wow!,Very very nice earphone
4,sinjini roy,5,Great product,Osome product I love it
5,Sandeep Kumar,5,Pretty good,same product
6,Gaurav Pawar,4,Awesome,Very very nice headphones ğŸ‘‰ğŸ‘ŒğŸ‘ŒğŸ‘ŒğŸ‘ŒğŸ‘ŒğŸ‘ŒğŸ‘Œ
7,Avijit Mondal,5,Does the job,Value for money good product
8,Sameer Palyekar,3,Waste of money!,"Worst and patheticğŸ˜ ğŸ˜ ğŸ˜ ğŸ˜ ğŸ˜ ğŸ˜ 
Left side stopped working just after 15 days
Worst experience
Return period is also got over
Totally disappointed with Flipkart"
9,Pappu Maurya,1,Wonderful,Very good
10,Pappu Maurya,3.4,Wonderful,Very good
11,Murari DUTTA,5,Just wow!,"Superb sound quality and amazing base
. You must purchase it"
12,Santosh Kumar,5,Value-for-money,"Nice but smooth
We can't use rough and tough"
13,Flipkart Customer,4,Awesome,Very nice ğŸ‘ğŸ‘ğŸ‘ğŸ‘ŒğŸ‘ŒğŸ‘Œ
14,BIKKI KUMAR,5,Terrific,NYC product
15,Somnath Das,5,Nice,Nice
16,Flipkart Customer,3,Absolute rubbish!,Don't buy this earphones it just the waste of money this earphones sound quality and whatever is too bad
17,Rafiul Mondal,1,Mind-blowing purchase,Bass quality is good ğŸ’ Thanks fk
18,Narotham Reddy,5,Terrific purchase,"Super, osmm"
19,Ashish Gupta,3.4,Wonderful,"Low quality
Sound nice"
20,Riyas Ahammed,4,Nice,Not that much good as i expected. But it's okğŸ‘Œ
21,Manojna vinjamuri,3,Nice,Worth for price
22,Kirankumar Kanole,3,Worth the money,Best earphone I got it @162
23,Flipkart Customer,4,Worthless,After some days use only one earphone works
24,Deepak Kumar,1,Horrible,Pin z nt working can't talk to my friends
25,Sumanta Seth,1,Fair,Good Quality Earphone
26,Hridoy Rudra paul,3,Best in the market!,Nice..ğŸ™‚
27,Reyazuddin Shaikh,5,Mind-blowing purchase,Very nice helpful
28,krishan yadav,3.4,Worst experience ever!,Received a faulty product
29,Flipkart Customer,1,Highly recommended,Very nice ğŸ‘ŒğŸ‘ŒğŸ™‚ğŸ™‚ğŸ™‚ğŸ™‚
30,Tuhin Nandi,5,Nice product,Good product in low budget ğŸ’œ
31,Flipkart Customer,4,Worst experience ever!,My one bass player is not clear thirld quality Product
32,Rena Tanweer,1,Just wow!,Good in this price range
33,Barun Bar,5,Nice,Wonderful product
34,Ankur Saikia,3,Terrific,Very good product this price
35,Supriya Karmakar,5,Excellent,Excellent sound and bass. Quality is good and looks like original.
36,Flipkart Customer,5,Must buy!,It has so much sound that I have been heard
37,Flipkart Customer,3.4,Wonderful,nice product
38,Rajesh kumar Gupta,4,Not recommended at all,Bad Quality
39,Anita Aswal,1,Super!,"Clear sound, n fit to earğŸ‘"
40,RadhaRameah. S. P Radha,5,Really Nice,"Hello everyone I m writing a perfect review. Please don't purchase this product... because it will be. Get damaged after giving a more volume.


Pros.
Build design is awesome.
Bass quality is awesome
Etc........."
41,Deepak Singh,4,Simply awesome,Best quaility . best earphone. High bass. You should buy this product. 5 stars
42,Flipkart Customer,5,Terrible product,"Worst product, I used it for 1 week and after that it is not working properly sound is not comming from from the left ear. Complete waste of money don't buy this product"
43,Tiyyagura RAVINDRAreddy,1,Did not meet expectations,"They are not at all working prorperly yesterday i got them and today they are not working when we plugg the earphones sound is cmng and also when will plug also the sound is cmng out not in earphones ,tooo baddd not at all worthy . Dont buy guys my trust on flipkart gone."
44,Flipkart Customer,1,Fabulous!,Beautiful Earphone loved it
45,Vinay Krishna,5,Classy product,This product Was awesome And The Sound Was Very Good As I Expect Just Loveeeee itttt ğŸ˜ Thank you Flip kart ğŸ˜š
46,Abhishek Chaurasiya,5,Utterly Disappointed,Bad product
47,Flipkart Customer,3.4,Best in the market!,Same like original..I loved it..what I expected it's comes exactly..
48,Flipkart Customer,5,Just wow!,Best
49,Souvik Modak,5,Best in the market!,Nice sound â¤ï¸â¤ï¸â¤ï¸
50,Mr. Adarsh chaudhary,5,Great product,Good product
51,Raj Kumar,5,Brilliant,Nice
52,Flipkart Customer,5,Terrible product,I did not exoected this from flipkart this earphone was not up to the mark and plus it was broken at first
53,Bhima charan Mohanta,1,Perfect product!,Good bass
54,Manav Sharma,5,Nice product,if we compare the product with its price then it is perfect..otherwise ...sound quality is not so good..but can be use for time passğŸ˜ğŸ˜
55,Sudeesh Maurya,4,Value-for-money,Best item at this price
56,Flipkart Customer,4,Worst experience ever!,worst quality
57,koukuntla Manasa,3.4,Could be way better,Sound is not good
58,Flipkart Customer,2,Value-for-money,"Packaging superb , quality is very good"
59,Sourav Maiti,4,Terrific,Nice earphone
60,K Gadilinga Reddy,5,Waste of money!,Normally head phone's
61,VEERENDRA BHARDWAJ,1,Very Good,Nice earphone.
62,Aakash lakra,4,Awesome,Good
63,Ramesh Purty,5,Good quality product,Nice sound nice product
64,Flipkart Customer,4,Unsatisfactory,Worst it stopped working after 15 days
65,Karan Yadav,1,Classy product,Quality of wire is not good
66,Mukesh Kumar,5,Simply awesome,Good Quality
67,Puneet Gupta,3.4,Horrible,"It is a fake product... I matched it with my dad's earphones that we bought.

1. The wire used is relatively light than the actual ones.
2. The protection grill is cheaply pasted via glue that will come out at any point in time, while actual ones has a more sophisticated grill present.
3. Sound in the left ear piece is higher than the right one. This only comes into picture post 2-4 months of use

If you are in extreme constraints of budget and time, go for this one."
68,Siva ganesh Ganesh,1,Very poor,Don't by this itam it is useles
69,Amrita Devi,1,Could be way better,V.v.v poor
70,Jyoshika soni,2,Worthless,It was waste of buying
71,Flipkart Customer,1,Simply awesome,Nice product
72,Nabin Roy,5,Worthless,Really Vry bad.i don't like
73,Flipkart Customer,1,Worthless,Very poor quality ... Don't buy it. .
74,Pranjal Kalita,1,Not recommended at all,Worst...
75,Avinash poojari,1,Useless product,Low quality... Not good
76,mansha mishra,1,Just okay,"I got my order today, it was good.. but sound quality is not that good as i expected.... It gives more bass compare to clear sound."
77,Flipkart Customer,3.4,Hated it!,"Properly not hearing bad quality, waste"
78,Khushyal Singh,1,Mind-blowing purchase,Very nice product
79,Flipkart Customer,5,Super!,Super
80,Satya Kumar,5,Very Good,Nice bass & sound system
81,Aniket Gupta,4,Best in the market!,Nice quality bass and music
82,Anurag Jagushte,5,Awesome,Nice pice
83,Flipkart Customer,5,Not good,"Not good sound quality
Very bad volume quality ğŸ˜ "
84,Jetti Sreenadh,2,Terrible product,it is one of the worst product. one of the speaker is not working after one week]\
85,Kishore kumar Sivagnanam,1,Delightful,Not bad
86,anil Bestha,4,Unsatisfactory,Not good
87,Flipkart Customer,3.4,Very Good,its better at this price range . . .
88,Prasant Bhoi,4,Simply awesome,Nice proudct
89,Nikhil Nikki,5,Just okay,Not bad ğŸ˜ 
90,Mithilesh chaurasiya,3,Moderate,Local is your headphone and neither left and right is written in it and calling button also does not work well
91,Anagha anu,2,Best in the market!,Good ...l ike it ğŸ˜ğŸ˜ğŸ˜
92,Pappu Kant,5,Not good,Not good sound quality
93,Nikul Thakor,2,Slightly disappointed,Nike thakor
94,Flipkart Customer,2,Terrific purchase,Very nice bass
95,Sukumar Tripathy,5,Good choice,Nice product.
96,Indrajit mondal,4,Super!,Very nice thanks for Flipkart
97,Parijat Halder,3.4,Does the job,All in all it's good in this price like 158 /- but a bit painful in the ears.
98,A N A N D Youtuber,3,Moderate,Very bad earphones
99,Rishov Dey,2,Best in the market!,"Excellent product I will be very satisfied this product
Very good"
100,Angel Kelawala,5,Worth every penny,All bass and sound is good but only one complain structure bcoz as we keep it in our ears it start paining
101,Sunil Sahu,5,Good,"Not a genuine vivo earphone, no bass, sound average, just okay"
102,Abhishek Paul,3,Utterly Disappointed,"If the microphone makes a bad phone call, you can't hear it"
103,Arunima Saha,1,Does the job,Good sound quality but hurts a bit on the edges of the ear
104,Flipkart Customer,3,Fabulous!,Very nice
105,Arun Kumar Yadav,5,Mind-blowing purchase,"Full Paisa vasul, best headphone and clear sound"
106,Flipkart Customer,5,Nice,10 days working worst earphones
